filename,meat,veggie,noodle
IMG_20191003_160735.jpg,15,7.5,131
IMG_20191003_160745.jpg,17,10.0,133
IMG_20191003_160756.jpg,13,5.0,122
IMG_20191003_160810.jpg,11,5.0,66
IMG_20191003_160826.jpg,11,5.0,70
IMG_20191003_160833.jpg,14,5.0,141
IMG_20191003_160838.jpg,13,7.5,97
IMG_20191003_160842.jpg,14,10.0,93
IMG_20191003_160847.jpg,14,7.5,103
IMG_20191003_160917.jpg,13,7.5,133
IMG_20191003_160934.jpg,11,5.0,135
IMG_20191003_161027.jpg,12,5.0,113
IMG_20191003_161032.jpg,14,5.0,118
IMG_20191003_161044.jpg,13,5.0,106
IMG_20191003_161057.jpg,13,7.5,113
IMG_20191003_161116.jpg,11,7.5,106
IMG_20191003_161127.jpg,15,7.5,108
IMG_20191003_161132.jpg,13,7.5,92
IMG_20191003_161140.jpg,13,10.0,78
IMG_20191003_161221.jpg,13,7.5,130
IMG_20191003_161242.jpg,17,10.0,128
IMG_20191003_161248.jpg,14,7.5,111
IMG_20191003_161302.jpg,21,15.0,166
IMG_20191003_161330.jpg,23,17.5,178
IMG_20191003_161337.jpg,21,15.0,151
IMG_20191003_161345.jpg,21,7.5,179
IMG_20191003_161405.jpg,21,12.5,185
IMG_20191003_161419.jpg,24,12.5,178
IMG_20191003_161441.jpg,18,7.5,159
IMG_20191003_161454.jpg,17,10.0,133
IMG_20191003_161507.jpg,23,12.5,165
IMG_20191003_161518.jpg,22,12.5,197
IMG_20191003_161537.jpg,20,10.0,167
IMG_20191003_161542.jpg,17,10.0,144
IMG_20191003_161604.jpg,22,12.5,189
IMG_20191003_161625.jpg,26,15.0,206
IMG_20191003_161710.jpg,18,20.0,185
IMG_20191003_161733.jpg,22,20.0,193
IMG_20191003_161739.jpg,25,27.5,222
IMG_20191003_161747.jpg,25,17.5,174
IMG_20191003_161812.jpg,21,22.5,220
IMG_20191003_161817.jpg,22,22.5,228
IMG_20191003_161829.jpg,18,15.0,206
IMG_20191003_161846.jpg,19,15.0,211
IMG_20191003_161916.jpg,24,17.5,206
IMG_20191003_161929.jpg,19,22.5,231
IMG_20191003_161935.jpg,17,17.5,212
IMG_20191003_161957.jpg,20,17.5,229
IMG_20191003_162006.jpg,16,20.0,195
IMG_20191003_162017.jpg,22,20.0,219
IMG_20191003_162023.jpg,18,17.5,213
IMG_20191003_162038.jpg,19,20.0,207
IMG_20191003_162117.jpg,26,25.0,225
IMG_20191003_162124.jpg,22,17.5,221
IMG_20191003_162140.jpg,25,17.5,231
IMG_20191003_162147.jpg,26,25.0,230
IMG_20191003_162152.jpg,25,25.0,229
IMG_20191003_162207.jpg,25,22.5,225
IMG_20191003_162230.jpg,23,27.5,203
IMG_20191003_162239.jpg,28,30.0,207
IMG_20191003_162257.jpg,22,27.5,227
IMG_20191003_162331.jpg,24,27.5,180
IMG_20191003_162403.jpg,25,27.5,229
IMG_20191003_162410.jpg,28,25.0,207
IMG_20191003_162416.jpg,31,35.0,220
IMG_20191003_162530.jpg,24,32.5,218
IMG_20191003_162545.jpg,32,32.5,199
IMG_20191003_162551.jpg,30,20.0,173
IMG_20191003_162557.jpg,19,22.5,125
IMG_20191003_162602.jpg,25,30.0,210
IMG_20191003_162622.jpg,29,25.0,181
IMG_20191003_162636.jpg,27,32.5,200
IMG_20191003_162643.jpg,27,32.5,188
IMG_20191003_162658.jpg,23,22.5,201
IMG_20191003_162707.jpg,16,22.5,187
IMG_20191003_162734.jpg,18,22.5,194
IMG_20191003_162742.jpg,17,22.5,193
IMG_20191003_162754.jpg,21,20.0,206
IMG_20191003_162800.jpg,26,22.5,148
IMG_20191003_162827.jpg,21,12.5,180
IMG_20191003_162848.jpg,27,25.0,184
IMG_20191003_162906.jpg,15,20.0,146
IMG_20191003_162935.jpg,25,27.5,211
IMG_20191003_163000.jpg,25,32.5,168
IMG_20191003_163010.jpg,21,25.0,193
IMG_20191003_163025.jpg,19,32.5,154
IMG_20191003_163050.jpg,17,32.5,145
IMG_20191003_163056.jpg,23,12.5,139
IMG_20191003_163103.jpg,21,22.5,176
